Stkcd	Stknme_en	Listdt	Conme_en	OWNERSHIPTYPE_EN	OWNERSHIPTYPECODE	Ipoprc	Nshripo	Parval	Markettype
688261	DWBD	2022-02-10	Suzhou Oriental Semiconductor Company Limited	Private Enterprises	P0306	130.0000	16844	1.0000000000	32
688262	GXKJ	2022-01-06	C*Core Technology Co., Ltd.	Private Enterprises	P0306	41.9800	60000	1.0000000000	32
688265	NMSW	2021-12-28	Shanghai Model Organisms Center Inc.	State-run or State-owned Holding	P0301	84.6200	19491	1.0000000000	32
688266	ZJZY	2020-01-23	Suzhou Zelgen Biopharmaceuticals Co., Ltd.	Sino-foreign Equity Joint Venture	P0303	33.7600	60000	1.0000000000	32
688267	ZCM	2022-02-16	China Catalyst Holding Co., Ltd.	Private Enterprises	P0306	41.9000	44050	1.0000000000	32
688268	HTQT	2019-12-26	Guangdong Huate Gas Co., Ltd.	Private Enterprises	P0306	22.1600	30000	1.0000000000	32
688269	KLXC	2021-06-09	Kaili Catalyst & New Materials Co., Ltd.	State-run or State-owned Holding	P0301	18.9400	23360	1.0000000000	32
688270	ZLKJ	2022-01-27	Great Microwave Technology Co., Ltd.	Private Enterprises	P0306	61.8800	27310	1.0000000000	32
688271	LYYL	2022-08-22	Shanghai United Imaging Healthcare Co., Ltd.	State-run or State-owned Holding	P0301	109.8800	100000	1.0000000000	32
688272	*ST FJ	2021-10-18	Beijing Fjr Optoelectronic Technology Co., Ltd.	Private Enterprises	P0306	22.5600	19000	1.0000000000	32
688273	MLD	2022-08-11	Nanjing Medlander Medical Technology Corp., Ltd.	Private Enterprises	P0306	40.2900	25000	1.0000000000	32
688275	WRXN	2022-09-29	Hubei Wanrun New Energy Technology Co., Ltd.	Private Enterprises	P0306	299.8800	21304	1.0000000000	32
688276	BKSW	2021-06-25	Changchun BCHT Biotechnology Co.	State-run or State-owned Holding	P0301	36.3500	41284	1.0000000000	32
688277	TZH	2020-07-07	Tinavi Medical Technologies Co., Ltd.	Private Enterprises	P0306	12.0400	41900	1.0000000000	32
688278	TBSW	2020-01-17	Xiamen Amoytop Biotech Co., Ltd.	Private Enterprises	P0306	8.2400	46500	1.0000000000	32
688279	FTKJ	2022-04-20	Fortior Technology (Shenzhen) Co., Ltd.	Sino-foreign Equity Joint Venture	P0303	82.0000	23091	1.0000000000	32
688280	JJDD	2021-10-27	Jingjin Electric Technology Co., Ltd.	Sino-foreign Equity Joint Venture	P0303	13.7800	147555	1.0000000000	32
688281	HQKJ	2022-03-07	Shaanxi Huaqin Technology Industry Co., Ltd.	Private Enterprises	P0306	189.5000	16667	1.0000000000	32
688282	LGDH	2022-03-18	Beijing Navigation Control Technology Co., Ltd.	Private Enterprises	P0306	65.2100	22000	1.0000000000	32
688283	KHSW	2022-02-15	Chengdu KSW Technologies Co., Ltd.	Private Enterprises	P0306	33.8000	21000	1.0000000000	32
688285	GTDQ	2021-10-20	China Railway High-speed Electrification Equipment Corporation Limited	State-run or State-owned Holding	P0301	7.1800	94100	1.0000000000	32
688286	MXGF	2020-08-10	MEMSensing Microsystm Co., Ltd.	Sino-foreign Equity Joint Venture	P0303	62.6700	13300	1.0000000000	32
688287	GDFW	2022-05-25	Skycam Defense Technology Co., Ltd.	Private Enterprises	P0306	21.8800		1.0000000000	32
688288	HQWL	2019-11-06	Hangzhou Hopechart IoT Technology Co., Ltd.	Private Enterprises	P0306	24.9900	25000	1.0000000000	32
688289	SXSW	2020-08-28	Sansure Biotech Inc.	Private Enterprises	P0306	50.4800	40000	1.0000000000	32
688290	JYZN	2022-04-29	Hangzhou Jingye Intelligent Technology Co., Ltd.	Private Enterprises	P0306	33.8900	20600	1.0000000000	32
688291	JCZ	2022-10-26	Beijing JCZ Technology Co., Ltd.	Private Enterprises	P0306	26.7700	25667	1.0000000000	32
688292	HHSD	2022-08-18	Beijing Haohan Data Technology Co., Ltd.	Private Enterprises	P0306	16.5600	39287	1.0000000000	32
688293	APM	2022-09-02	Shanghai OPM Biosciences Co., Ltd.	Private Enterprises	P0306	80.2000	20495	1.0000000000	32
688295	ZFSY	2022-04-06	Zhongfu Shenying Carbon Fiber Co., Ltd.	State-run or State-owned Holding	P0301	29.3300	100000	1.0000000000	32
688296	HDKJ	2021-07-27	Zhejiang Heda Technology Co., Ltd.	Private Enterprises	P0306	12.4600	26848	1.0000000000	32
688297	ZWRJ	2022-06-29	AVIC (Chengdu) UAS Co., Ltd.	State-run or State-owned Holding	P0301	32.3500	135000	1.0000000000	32
688298	DFSW	2020-02-05	Zhejiang Orient Gene Biotech Co., Ltd.	Sino-foreign Equity Joint Venture	P0303	21.2500	30000	1.0000000000	32
688299	CYKJ	2019-11-06	Ningbo Solartron Technology Co., Ltd.	Private Enterprises	P0306	13.7100	70642	1.0000000000	32
688300	LRXC	2019-11-15	Jiangsu NOVORAY New Material Co., Ltd.	Private Enterprises	P0306	27.2800	21493	1.0000000000	32
688301	YRKJ	2020-09-18	iRay Technology Company Limited	Sino-foreign Equity Joint Venture	P0303	119.6000	18200	1.0000000000	32
