Stkcd,Stknme_en,Listdt,Conme_en,OWNERSHIPTYPE_EN,OWNERSHIPTYPECODE,Ipoprc,Nshripo,Parval,Markettype
2315,JDKJ,12/9/09,Focus Technology Co. Ltd.,Private Enterprises,P0306,42,29380,1,4
2316,YLFZ,12/9/09,Jilin Asia Link Technology Development Co. Ltd.,Sino-foreign Equity Joint Venture,P0303,18.8,30000,1,4
2317,ZSYY,12/11/09,Guangdong Zhongsheng Pharmaceutical Co. Ltd.,Private Enterprises,P0306,55,20000,1,4
2318,JLTC,12/11/09,Zhejiang Jiuli Hi-tech Metals Co. Ltd.,Private Enterprises,P0306,23,40000,1,4
2319,LTGF,12/11/09,Letong Chemical Co. Ltd.,Private Enterprises,P0306,13.7,25000,1,4
2320,HXGF,12/16/09,Hainan Strait Shipping Co. Ltd.,State-run or State-owned Holding,P0301,33.6,39500,1,4
2321,HYNY,12/16/09,Henan Huaying Agricultural Development Co. Ltd.,State-run or State-owned Holding,P0301,16.98,37000,1,4
2322,LGNK,12/18/09,Ningbo Ligong Environment and Energy Technology Co. Ltd.,Private Enterprises,P0306,40,16700,1,4
2323,YBGF,12/18/09,Shandong Yabo Technology Co. Ltd.,Sino-foreign Equity Joint Venture,P0303,30,21000,1,4
2324,PLT,12/18/09,Shanghai Pret Composites Co. Ltd.,Private Enterprises,P0306,22.5,35000,1,4
2325,HTGF,12/22/09,Shenzhen Hongtao Group Co. Ltd.,Private Enterprises,P0306,27,30000,1,4
2326,YTKJ,12/22/09,Zhejiang Yongtai Technology Co. Ltd.,Private Enterprises,P0306,20,33500,1,4
2327,FAN,12/30/09,Shenzhen Fuanna Bedding and Furnishing Co. Ltd.,Private Enterprises,P0306,30,26000,1,4
2328,XPGF,12/30/09,Shanghai Xinpeng Industry Co. Ltd.,Private Enterprises,P0306,19.38,75000,1,4
2329,HSJT,1/6/10,Royal Group Co. Ltd.,Private Enterprises,P0306,20.1,27000,1,4
2330,DLS,1/6/10,Shandong Delisi Food Co. Ltd.,Sino-foreign Equity Joint Venture,P0303,13.18,63000,1,4
